datafile, filename, generations, threads, average_time
s5e50.in, par_grid_list, 10, 1, 0.0133416
s5e50.in, par_grid_list, 10, 2, 0.0300994
s5e50.in, par_grid_list, 10, 4, 0.0521828
s5e50.in, par_grid_list, 10, 8, 0.0049998
s5e50.in, par_grid_list, 300, 1, 0.020625
s5e50.in, par_grid_list, 300, 2, 0.0416754
s5e50.in, par_grid_list, 300, 4, 0.0174148
s5e50.in, par_grid_list, 300, 8, 0.0189132
s5e50.in, par_grid_list, 500, 1, 0.0301664
s5e50.in, par_grid_list, 500, 2, 0.0407528
s5e50.in, par_grid_list, 500, 4, 0.0452456
s5e50.in, par_grid_list, 500, 8, 0.0306356
s5e50.in, par_grid_list, 1000, 1, 0.0485064
s5e50.in, par_grid_list, 1000, 2, 0.170741
s5e50.in, par_grid_list, 1000, 4, 0.0524882
s5e50.in, par_grid_list, 1000, 8, 0.0745298
s5e50.in, par_grid_list, 2000, 1, 0.166787
s5e50.in, par_grid_list, 2000, 2, 0.104213
s5e50.in, par_grid_list, 2000, 4, 0.108811
s5e50.in, par_grid_list, 2000, 8, 0.386522
s20e400.in, par_grid_list, 10, 1, 0.111305
s20e400.in, par_grid_list, 10, 2, 0.063983
s20e400.in, par_grid_list, 10, 4, 0.0516186
s20e400.in, par_grid_list, 10, 8, 0.0990204
s20e400.in, par_grid_list, 300, 1, 2.60541
s20e400.in, par_grid_list, 300, 2, 2.27982
s20e400.in, par_grid_list, 300, 4, 1.19522
s20e400.in, par_grid_list, 300, 8, 2.54376
s20e400.in, par_grid_list, 500, 1, 4.09943
s20e400.in, par_grid_list, 500, 2, 1.56682
s20e400.in, par_grid_list, 500, 4, 2.84881
s20e400.in, par_grid_list, 500, 8, 4.18876
s20e400.in, par_grid_list, 1000, 1, 6.65238
s20e400.in, par_grid_list, 1000, 2, 6.85178
s20e400.in, par_grid_list, 1000, 4, 6.14624
s20e400.in, par_grid_list, 1000, 8, 5.53847
s20e400.in, par_grid_list, 2000, 1, 10.576
s20e400.in, par_grid_list, 2000, 2, 7.81485
s20e400.in, par_grid_list, 2000, 4, 9.20895
s20e400.in, par_grid_list, 2000, 8, 11.002
s150e10k.in, par_grid_list, 10, 1, 0.0657522
s150e10k.in, par_grid_list, 10, 2, 0.0621112
s150e10k.in, par_grid_list, 10, 4, 0.0594468
s150e10k.in, par_grid_list, 10, 8, 0.0919242
s150e10k.in, par_grid_list, 300, 1, 2.13267
s150e10k.in, par_grid_list, 300, 2, 2.30329
s150e10k.in, par_grid_list, 300, 4, 2.33461
s150e10k.in, par_grid_list, 300, 8, 2.05899
s150e10k.in, par_grid_list, 500, 1, 3.3257
s150e10k.in, par_grid_list, 500, 2, 3.87029
s150e10k.in, par_grid_list, 500, 4, 4.54815
s150e10k.in, par_grid_list, 500, 8, 4.29758
s150e10k.in, par_grid_list, 1000, 1, 8.36348
s150e10k.in, par_grid_list, 1000, 2, 10.532
s150e10k.in, par_grid_list, 1000, 4, 11.7519
s150e10k.in, par_grid_list, 1000, 8, 8.35775
s150e10k.in, par_grid_list, 2000, 1, 12.6806
s150e10k.in, par_grid_list, 2000, 2, 8.82465
s150e10k.in, par_grid_list, 2000, 4, 10.4697
s150e10k.in, par_grid_list, 2000, 8, 8.43136
s200e50k.in, par_grid_list, 10, 1, 0.277464
s200e50k.in, par_grid_list, 10, 2, 0.281032
s200e50k.in, par_grid_list, 10, 4, 0.277275
s200e50k.in, par_grid_list, 10, 8, 0.284034
s200e50k.in, par_grid_list, 300, 1, 4.70361
s200e50k.in, par_grid_list, 300, 2, 4.29854
s200e50k.in, par_grid_list, 300, 4, 3.71044
s200e50k.in, par_grid_list, 300, 8, 4.06039
s200e50k.in, par_grid_list, 500, 1, 6.47464
s200e50k.in, par_grid_list, 500, 2, 5.79426
s200e50k.in, par_grid_list, 500, 4, 6.48102
s200e50k.in, par_grid_list, 500, 8, 7.49843
s200e50k.in, par_grid_list, 1000, 1, 11.9819
s200e50k.in, par_grid_list, 1000, 2, 12.4799
s200e50k.in, par_grid_list, 1000, 4, 13.0035
s200e50k.in, par_grid_list, 1000, 8, 12.1527
s200e50k.in, par_grid_list, 2000, 1, 23.5372
s200e50k.in, par_grid_list, 2000, 2, 18.1922
s200e50k.in, par_grid_list, 2000, 4, 17.8144
s200e50k.in, par_grid_list, 2000, 8, 17.0452
s500e300k.in, par_grid_list, 10, 1, 1.30719
s500e300k.in, par_grid_list, 10, 2, 1.30527
s500e300k.in, par_grid_list, 10, 4, 1.33267
s500e300k.in, par_grid_list, 10, 8, 1.30773
s500e300k.in, par_grid_list, 300, 1, 7.2498
s500e300k.in, par_grid_list, 300, 2, 7.42045
s500e300k.in, par_grid_list, 300, 4, 7.3864
s500e300k.in, par_grid_list, 300, 8, 7.44714
s500e300k.in, par_grid_list, 500, 1, 11.5879
s500e300k.in, par_grid_list, 500, 2, 11.4746
s500e300k.in, par_grid_list, 500, 4, 11.632
s500e300k.in, par_grid_list, 500, 8, 11.6112
s500e300k.in, par_grid_list, 1000, 1, 21.9121
s500e300k.in, par_grid_list, 1000, 2, 22.7398
s500e300k.in, par_grid_list, 1000, 4, 24.9978
s500e300k.in, par_grid_list, 1000, 8, 24.6291
s500e300k.in, par_grid_list, 2000, 1, 75.4448
s500e300k.in, par_grid_list, 2000, 2, 82.7274
s500e300k.in, par_grid_list, 2000, 4, 84.5499
s500e300k.in, par_grid_list, 2000, 8, 76.2628
